Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9954977488744372,0.963302752293578,0.9545454545454546,0.958904109589041
SVM,0.9949974987493747,0.9716981132075472,0.9363636363636364,0.9537037037037037
k-NN,0.9884942471235618,0.8990825688073395,0.8909090909090909,0.8949771689497716
Random Forest,0.9474737368684342,1.0,0.045454545454545456,0.08695652173913043
